ID ABB
13-diphopshateglycerate OneThreeDPG
1-Methyl-Histidine OneMH
2,3-dihydroxybenzoicacid TwoThreeDHBA
2-Aminooctanoicacid TwoAOA
2-dehydro-D-gluconate TwoGLUC
2-deoxyglucose-6-phosphate TwoDGLC
2-Hydroxy-2-methylbutanedioicacid TwoHTwoMBDA
2-hydroxygluterate TwoHGLUT
2-Isopropylmalicacid TwoIMA
2-ketohaxanoicacid TwoKHA
2-keto-isovalerate TwoKIV
2-oxo-4-methylthiobutanoate TwoOFourMTB
2-oxobutanoate TwoOB
3-methylphenylaceticacid ThreeMPAA
3-phosphoglycerate ThreePG
3-phospho-serine ThreePS
4-aminobutyrate FourAB
4-Pyridoxicacid FourPA
6-phospho-D-gluconate SixGLUC
6-phospho-D-glucono-15-lactone SixGLAC
acetoacetate AA
Acetyllysine AL
aconitate ACON
adenine ADN
adenosine ADSN
ADP_neg ADP
ADP-D-glucose ADPGLUC
a-ketoglutarate AKG
alanine ALA
allantoin ALL
Aminoadipicacid AAA
anthranilate ANTHR
arginine ARG
Ascorbicacidanalog AscAA
asparagine ASN
aspartate ASP
ATP_neg ATP
Atrolacticacid ALacA
betaine BET
betainealdehyde BETA
Carbamoylphosphate CBP
carnitine CARN
CDP_neg CDP
CDP-choline CDPCHO
CDP-ethanolamine CDPETH
Cellobiose CellB
cholesterylsulfate CHSULF
choline CHOL
Citraconicacid CITA
citrate-isocitrate CIT
citrulline CITR
CMP CMP
creatine CRE
Creatinine CREN
CTP_neg CTP
cysteine CYS
Cytidine CYTN
cytosine CYT
dAMP DAMP
dCDP DCDP
dCMP DCMP
deoxyinosine DOIN
deoxyribose-phosphate DORP
deoxyuridine DOURD
D-erythrose-4-phosphate E4P
dGDP_neg DGDP
D-glucarate DGLUCR
D-gluconate DGLUCN
D-glyceraldehdye-3-phosphate G3P
dGMP/AMP DGMP
dGTP DGTP
dihydroorotate DHO
dihydroxy-acetone-phosphate DHAP
dimethylglycine DMG
DL-Pipecolicacid PCA
D-sedoheptulose-7-phosphate S7P
dTMP DTMP
dTMP_neg DTMPN
dUMP_neg DUMP
folate FOL
fructose-16-bisphosphate F16BP
fumarate FUM
GDP_neg GDPN
glucono-D-lactone GLDL
glucosamine GLSA
Glucose-neg GLC
glutamate GLU
glutamine GLN
glutathione GLT
glutathione_neg GLTN
glutathionedisulfide_neg GLTDSN
glutathionedisulfide_pos GLTDSP
glycerate GLYC
Glycine GLY
glycolate GLYCO
glyoxylate GLYOX
guanine GUA
guanosine GUASN
hexose-phosphate HEXP
histidine HIS
histidinol HISO
homocysteicacid HCYSA
homocysteine HCYS
homoserine HSER
Hydroxyisocaproicacid HICA
Hydroxyphenylaceticacid HPAA
hydroxyphenylpyruvate HPP
hydroxyproline HP
hypoxanthine HX
IMP IMP
indole IND
inosine INOS
Kynurenine KYN
lactate LAC
leucine-isoleucine LEU
lysine LYS
malate MAL
Maleicacid MALA
methionine MET
Methioninesulfoxide METS
Methylcysteine MCYS
Methylmalonicacid MMAL
myo-inositol MINOS
N6-Acetyl-L-lysine NAL
N-acetyl-glucosamine-1-phosphate NAGP
N-acetyl-glutamate NAGLU
N-acetyl-glutamine NAGLN
N-Acetyl-L-alanine NAALA
N-acetyl-L-ornithine NAORN
N-Acetylputrescine NAPUT
NAD+_neg NADN
NAD+_pos NADP
NADH_neg NADHN
NADH_pos NADHP
NADP+_pos NADP
NADPH NADPH
N-carbamoyl-L-aspartate_neg NCASP
Ng,NGdimethylLarginine NNDMARG
nicotinamide NAD
Nicotinamideribotide NADR	
O-acetyl-L-serine OAS
octulose-1,8-bisphosphate(OBP) OBP
octulose-monophosphate(O8P-O1P) O1P
ornithine ORN
orotate ORO
oxaloacetate OAA
p-aminobenzoate PABA
pantothenate PAN
phenylalanine PHE
Phenyllacticacid PHELA
phenylpyruvate PHEPYR
phosphoenolpyruvate PEP
Phosphorylcholine PCHOL
p-hydroxybenzoate PHB
proline PRO
putrescine PUT
Pyridoxamine PYRDA
pyridoxine PYRD
Pyroglutamicacid PGA
Pyrophosphate PP
pyruvate PYR
quinolinate QUIN
ribose-phosphate RP
S-adenosyl-L-homoCysteine_neg SAHN
S-adenosyl-L-homoCysteine_pos SAHP
S-adenosyl-L-methionine SAM
sarcosine SRC
serine SER
shikimate SHI
shikimate-3-phosphate SHI3P
S-methyl-5-thioadenosine SM5TA
sn-glycerol-3-phosphate Glyc3P
spermidine SPE
S-ribosyl-L-homocysteine_pos SHOM
succinate SUC
taurine TAU
Taurodeoxycholicacid TDOCA
thiamine THI
Thiaminepyrophosphate THIPP
threonine THR
thymidine THYMID
thymine THY
trehalose-sucrose TRE
tryptophan TRP
tyrosine TYR
UDP_neg UDP
UDP-D-glucose UGLUC
UDP-D-glucuronate UGLATE
UDP-N-acetyl-glucosamine UAGLINE
UMP UMP
UMP_2 UMP2
uracil URA
Uricacid UA
uridine URD
UTP_neg UTP
valine VAL
xanthine XAN
xanthosine XANTHO
Xanthurenicacid XA
