rxnID	rxnEQ	cTrans	rates	type	basis	deviation		
R01	GLC_EX = GLC6P	abcdef = abcdef		F	X			
RGlutamineExchangeFR	GLN_EX = GLN	abcde = abcde		FR				
RGlutamineExchangeR	GLN = GLN_EX	abcde = abcde		R	X			
RLactateExchangeFR	LAC = LAC_EX	abc = abc		FR				
RLactateExchangeR	LAC_EX = LAC	abc = abc		R	X			
RCO2ExchangeFR	CO2 = CO2_EX	a = a		FR				
RCO2ExchangeR	CO2_EX = CO2	a = a		R	X			
RAlanineExchangeFR	ALA_EX = ALA	abc = abc		FR				
RAlanineExchangeR	ALA = ALA_EX	abc = abc		R	X			
RAspartateExchangeFR	ASP_EX = ASP	abcd = abcd		FR				
RAspartateExchangeR	ASP = ASP_EX	abcd = abcd		R	X			
RSerineExchangeFR	SER_EX = SER	abc = abc		FR				
RSerineExchangeR	SER = SER_EX	abc = abc		R	X			
RGlycineExchangeFR	GLY_EX = GLY	ab = ab		FR				
RGlycineExchangeR	GLY = GLY_EX	ab = ab		R	X			
RAsparagineExchangeFR	ASN_EX = ASN	abcd = abcd		FR				
RAsparagineExchangeR	ASN = ASN_EX	abcd = abcd		R	X			
RBicarbonateExchangeFR	HCO3_EX = HCO3	a = a		FR				
RBicarbonateExchangeR	HCO3 = HCO3_EX	a = a		R	X			
RArginineExchangeFR	ARG_EX = ARG	abcdef = abcdef		FR				
RArginineExchangeR	ARG = ARG_EX	abcdef = abcdef		R	X			
RUreaExchangeFR	URE_EX = URE	a = a		FR				
RUreaExchangeR	URE = URE_EX	a = a		R	X			
RProlineExchangeFR	PRO_EX = PRO	abcde = abcde		FR				
RProlineExchangeR	PRO = PRO_EX	abcde = abcde		R	X			
R3.5.1.2FR	GLN = GLU	abcde = abcde		FR				
R3.5.1.2R	GLU = GLN	abcde = abcde		R	X			
R1.4.1.2FR	GLU = AKG	abcde = abcde		FR				
R1.4.1.2R	AKG = GLU	abcde = abcde		R	X			
R1.1.1.39	SUC = PYR + CO2	abcd = abc + d		F				
R2.6.1.1FR	GLU + OAA = AKG + ASP	abcde + fghi = abcde + fghi		FR				
R2.6.1.1R	AKG + ASP = GLU + OAA	abcde + fghi = abcde + fghi		R	X			
R2.6.1.2FR	GLU + PYR = AKG + ALA	abcde + fgh = abcde + fgh		FR				
R2.6.1.2R	AKG + ALA = GLU + PYR	abcde + fgh = abcde + fgh		R	X			
R03	GLC6P = F6P	abcdef = abcdef		FR				
Rtest8	F6P = GLC6P	abcdef = abcdef		R	X			
R05	F6P = F16BP	abcdef = abcdef		FR				
Rtest9	F16BP = F6P	abcdef = abcdef		R	X			
R06	F16BP = DHAP + G3P	abcdef = abc + def		FR				
R06	DHAP + G3P = F16BP	abc + def = abcdef		R	X			
Rtest112	DHAP = G3P	abc = cba		FR				
Rtest11	G3P = DHAP	abc = cba		R	X			
R15	G3P = 3PG	abc = abc		FR				
Rtest12	3PG = G3P	abc = abc		R	X			
R16	3PG = PYR	abc = abc		FR				
Rtest13	PYR = 3PG	abc = abc		R	X			
R27	PYR = LAC	abc = abc		F				
Rtest14	GLC6P = GLCGLY	abcdef = abcdef		F				
R25	3PG = SER	abc = abc		F				
R26	SER = GLY + MTHF	abc = ab + c		F	X			
R17	PYR = ACCOA + CO2	abc = bc + a		F				
R18	ACCOA + OAA  = CIT	ab + cdef = fedbac		F				
R19	CIT = AKG + CO2	abcdef = abcde + f		F				
R20	AKG = 0.5 SUC + 0.5 SUC + CO2	abcde = 0.5 bcde + 0.5 edcb + a		F				
R21	SUC = OAA	abcd = abcd		F				
R6.4.1.1	PYR + CO2 = OAA	abc + d = abcd		FR				
R1.1.1.39+4.1.1.32	OAA = PYR + CO2	abcd = abc + d		R	X			
R08	GLC6P = P5P + CO2	abcdef = bcdef + a		F	X			
R09	P5P + P5P = S7P + G3P	abcde + fghij = fgabcde + hij		FR				
R10	S7P + G3P = P5P + P5P	fgabcde + hij = abcde + fghij		R	X			
R11	S7P + G3P = E4P + F6P	abcdefg + hij = defg + abchij		FR				
R12	E4P + F6P = S7P + G3P	defg + abchij = abcdefg + hij		R	X			
R13	E4P + P5P = F6P + G3P	abcd + efghi = efabcd + ghi		FR				
R14	F6P + G3P = E4P + P5P	efabcd + ghi = abcd + efghi		R	X			
R6.3.5.4FR	ASP = ASN	abcd = abcd		FR				
R6.3.5.4R	ASN = ASP	abcd = abcd		R	X			
R6.3.5.5	GLN + HCO3 = CBP + GLU	abcde + f = f + abcde		F				
R2.1.3.3	CBP + ORN = CITR	a + bcdef = debfca		F				
R6.3.4.5	ASP + CITR = ARGSUCC	abcd + efghij = abcjdhfegi		F				
R4.3.2.1	ARGSUCC = ARG + 0.5 OAA + 0.5 OAA	abcdefghij = hgifjd + 0.5 cabe + 0.5 ebac		F				
R3.5.3.1	ARG = ORN + URE	abcdef = abcde + f		F				
R2.6.1.13	GLU = GLUSA	abcde = abcde		F				
R1.5.5.2	GLUSA = PRO	abcde = abcde		F				
								
##	excludedMetabolites							
#	GLC_EX							
#	GLN_EX							
#	ALA_EX							
#	ASP_EX							
#	LAC_EX							
#	CO2_EX							
#	GLY_EX							
#	ASN_EX							
#	HCO3_EX							
#	ARG_EX							
#	URE_EX							
#	PRO_EX							
#	MTHF							
#	GLCGLY							
								
##	simulatedMDVs							
#	GLC6P#111111							
#	F6P#111111							
#	F16BP#111111							
#	DHAP#111							
#	G3P#111							
#	3PG#111							
#	PYR#111							
#	SER#111							
#	GLY#11							
#	OAA#1111							
#	CIT#111111							
#	AKG#11111							
#	SUC#1111							
#	GLN#11111							
#	LAC#111							
#	GLU#11111							
#	ASP#1111							
#	ALA#111							
#	E4P#1111							
#	P5P#11111							
#	S7P#1111111							
								
##	inputSubstrates							
#	GLC_EX							
#	GLN_EX							
#	ALA_EX							
#	ASP_EX							
#	LAC_EX							
#	CO2_EX							
#	GLY_EX							
#	ASN_EX							
#	HCO3_EX							
#	ARG_EX							
#	URE_EX							
#	PRO_EX							
								
##	measurements							
#	0.169422975	GLC6P#111111	m					
#	0.004328252		m+1					
#	0.007831255		m+2					
#	0.007831255		m+3					
#	0.007831255		m+4					
#	0.02434875		m+5					
#	0.778406258		m+6					
#	0.169422975	F6P#111111	m					
#	0.004328252		m+1					
#	0.007831255		m+2					
#	0.007831255		m+3					
#	0.007831255		m+4					
#	0.02434875		m+5					
#	0.778406258		m+6					
#	0.05464773	F16BP#111111	m					
#	0.035954271		m+1					
#	0.035954271		m+2					
#	0.035954271		m+3					
#	0.035954271		m+4					
#	0.035954271		m+5					
#	0.765580913		m+6					
#	0.01661371	DHAP#111	m					
#	0.0024913		m+1					
#	0.027004207		m+2					
#	0.953890783		m+3					
#	0.01661371	G3P#111	m					
#	0.0024913		m+1					
#	0.027004207		m+2					
#	0.953890783		m+3					
#	0.003875061	3PG#111	m					
#	0.003289155		m+1					
#	0.025249991		m+2					
#	0.967585793		m+3					
#	0.085075155	PYR#111	m					
#	0.004125624		m+1					
#	0.02896817		m+2					
#	0.881831052		m+3					
#	0.688857249	SER#111	m					
#	0.100987636		m+1					
#	0.027729266		m+2					
